Article,Word,Plural,Translation,Category
das,Bild,Bilder,imagen / cuadro / foto,noun
der,Vater,Väter,padre,noun
das,Spiel,Spiele,juego,noun
,spielen,,jugar,verb
das,Buch,Bücher,libro,noun
der,Mann,Männer,hombre,noun
die,Frau,Frauen,mujer,noun
das,Kind,Kinder,niño (child),noun
,sprechen,,hablar,verb
,kommen,,venir,verb
,aus,,de / desde,preposition
,trinken,,beber,verb
der,Kaffee,,café,noun
das,Wasser,,agua,noun
,essen,,comer,verb
der,Kuchen,Kuchen,pastel / torta,noun
,haben,,tener,verb
der,Hunger,,hambre,noun
,machen,,hacer,verb
,gehen,,ir / caminar,verb
die,Hausaufgaben,,deberes,noun
,arbeiten,,trabajar,verb
die,Arbeit,,trabajo,noun
das,Büro,Büros,oficina,noun
der,Apfel,Äpfel,manzana,noun
der,Kellner,Kellner,camarero,noun
,bringen,,traer,verb
der,Fußball,Fußbälle,fútbol,noun
,kaufen,,comprar,verb
das,Brot,Brote,pan,noun
,bestellen,,pedir / ordenar,verb
die,Pommes,,papas fritas,noun
,schreiben,,escribir,verb
,hören,,oír / escuchar,verb
die,Musik,,música,noun
,malen,,pintar,verb
,fahren,,conducir / ir (en vehículo),verb
das,Auto,Autos,coche,noun
,nett,,simpático,adjective
der,Tisch,Tische,mesa,noun
,lernen,,aprender,verb
