Article,Word,Plural,Translation,Category
das,Kind,Kinder,niño (child),noun
das,Genus,Genera,género gramatical,noun
das,Mädchen,Mädchen,niña,noun
,heiß,,caliente,adjective
der,Junge,Jungen,niño,noun
die,Tasse,Tassen,taza,noun
die,Lampe,Lampen,lámpara,noun
,leer,,vacío,adjective
der,Baum,Bäume,árbol,noun
der,Sessel,Sessel,sillón / butaca,noun
die,Blume,Blumen,flor,noun
,schauen,,mirar,verb
,schau mal,,mira / fíjate,expression
,bequem,,cómodo,adjective
die,Küche,Küchen,cocina,noun
,modern,,moderno,adjective
das,Bett,Betten,cama,noun
der,Norden,,Norte,noun
der,Süden,,Sur,noun
der,Osten,,Este (East),noun
der,Westen,,Oeste,noun
der,Bäcker,Bäcker,panadero,noun
der,Computer,Computer,ordenador,noun
der,Schmetterling,Schmetterlinge,mariposa,noun
der,Tourismus,,turismo,noun
die,Freiheit,,libertad,noun
die,Zeitung,Zeitungen,periódico / diario,noun
die,Nation,Nationen,nación,noun
die,Universität,Universitäten,universidad,noun
die,Magd,Mägde,criada / sirvienta,noun
das,Eigentum,Eigentümer,propiedad,noun
,leben,,vivir,verb
das,Leben,,vida,noun
,rot,,rojo,adjective
das,Rot,,rojo (el color),noun
das,Hotel,Hotels,hotel,noun
das,Restaurant,Restaurants,restaurante,noun
das,Radio,Radios,radio,noun
die,Wohnung,Wohnungen,vivienda / piso / apartamento,noun
der,Name,Namen,nombre,noun
der,Stuhl,Stühle,silla,noun
der,Ort,Orte,lugar / sitio,noun
der,Ball,Bälle,pelota / balón,noun
das,Land,Länder,país / tierra,noun
die,Oma,Omas,abuela,noun
das,Fenster,Fenster,ventana,noun
die,Mutter,Mütter,madre,noun
der,Bruder,Brüder,hermano,noun
der,Sohn,Söhne,hijo,noun
die,Tür,Türen,puerta,noun
,sehen,,ver,verb
,groß,,grande,adjective
,lesen,,leer,verb
