Article,Word,Plural,Translation,Category
der,Cent,Cent,céntimo,noun
das,Bild,Bilder,imagen / cuadro / foto,noun
der,Tag,Tage,día,noun
die,Katze,Katzen,gato / gata,noun
der,König,Könige,rey,noun
die,Qualität,Qualitäten,calidad,noun
die,Sonne,Sonnen,sol,noun
das,Haus,Häuser,casa,noun
der,Van,Vans,furgoneta,noun
der,Vater,Väter,padre,noun
das,Baby,Babys,bebé,noun
der,Typ,Typen,tipo / chico (dude),noun
die,Straße,Straßen,calle,noun
der,Saal,Säle,vestíbulo,noun
das,Meer,Meere,mar,noun
der,Lehrer,Lehrer,profesor,noun
die,Lehrerin,Lehrerinnen,profesora,noun
die,Uhr,Uhren,reloj,noun
,ja,,sí,interjection
,gut,,bueno,adjective
,legen,,poner / colocar / acostar (to lay),verb
der,Kamm,Kämme,peine,noun
der,Hund,Hunde,perro,noun
,mein,,mi,pronoun
das,Eis,,helado / hielo,noun
,blau,,azul,adjective
der,Kauf,Käufe,compra,noun
,Deutschland,,Alemania,proper noun
der,Traum,Träume,sueño,noun
,ich,,yo,pronoun
,zwei,,dos,number
,acht,,ocho,number
,neun,,nueve,number
,zehn,,diez,number
das,Licht,Lichter,luz,noun
das,Buch,Bücher,libro,noun
die,Nacht,Nächte,noche,noun
die,Schule,Schulen,escuela,noun
,falsch,,falso / incorrecto,adjective
,backen,,hornear / cocer al horno,verb
der,Schreck,Schrecke,susto,noun
das,Alphabet,Alphabete,alfabeto,noun
das,Pferd,Pferde,caballo,noun
der,Platz,Plätze,sitio,noun
der,Tag,Tage,día,noun
der,Mai,,mayo,noun
,sprechen,,hablar,verb
der,Apfel,Äpfel,manzana,noun
das,Bett,Betten,cama,noun
der,Computer,Computer,ordenador,noun
die,Liebe,,amor,noun
,lieben,,amar / querer,verb
