Article,Word,Plural,Translation,Category
der,Lehrer,Lehrer,profesor,noun
die,Lehrerin,Lehrerinnen,profesora,noun
,ich,,yo,pronoun
,du,,tú,pronoun
,Sie,,usted,pronoun
,er,,él,pronoun
,sie,,ella,pronoun
,es,,ello / eso,pronoun
,wir,,nosotros,pronoun
,ihr,,vosotros,pronoun
,Sie,,ustedes,pronoun
,sie,,ellos,pronoun
,hier,,aquí,adverb
,neu,,nuevo,adjective
,sehr,,muy,adverb
,freundlich,,amigable,adjective
der,Freund,Freunde,amigo,noun
die,Freundin,Freundinnen,amiga,noun
,interessant,,interesante,adjective
der,Arzt,Ärzte,médico,noun
die,Ärztin,Ärztinnen,médica,noun
der,Student,Studenten,estudiante (hombre),noun
die,Studentin,Studentinnen,estudiante (mujer),noun
der,Kollege,Kollegen,compañero / colega,noun
die,Kollegin,Kolleginnen,compañera / colega,noun
,müde,,cansado,adjective
,glücklich,,feliz,adjective
,kalt,,frío,adjective
,intelligent,,inteligente,adjective
,pünktlich,,puntual,adjective
,richtig,,correcto,adjective
,überrascht,,sorprendido,adjective
,natürlich,,natural / por supuesto,adjective
,willkommen,,bienvenido,adjective
